"Block1","dist","agent","persona"
37,"document_only","agent_3","persona_2"
37,"document_only","agent_4","persona_2"
37,"integrated","agent_3","persona_2"
37,"document_only","agent_2","persona_3"
37,"document_only","agent_3","persona_3"
37,"document_only","agent_4","persona_3"
37,"integrated","agent_3","persona_3"
38,"document_only","agent_2","persona_1"
38,"document_only","agent_4","persona_1"
38,"integrated","agent_3","persona_1"
38,"integrated","agent_4","persona_1"
38,"document_only","agent_2","persona_2"
38,"document_only","agent_4","persona_2"
38,"integrated","agent_3","persona_2"
38,"integrated","agent_4","persona_2"
38,"document_only","agent_2","persona_3"
38,"document_only","agent_4","persona_3"
38,"integrated","agent_3","persona_3"
38,"integrated","agent_4","persona_3"
39,"document_only","agent_3","persona_1"
39,"document_only","agent_4","persona_1"
39,"memory_only","agent_1","persona_1"
39,"memory_only","agent_4","persona_1"
39,"document_only","agent_3","persona_2"
39,"document_only","agent_4","persona_2"
39,"memory_only","agent_1","persona_2"
39,"memory_only","agent_4","persona_2"
39,"document_only","agent_3","persona_3"
39,"document_only","agent_4","persona_3"
39,"memory_only","agent_1","persona_3"
39,"memory_only","agent_4","persona_3"
40,"document_only","agent_3","persona_1"
40,"integrated","agent_4","persona_1"
40,"memory_only","agent_3","persona_1"
40,"memory_only","agent_4","persona_1"
40,"document_only","agent_3","persona_2"
40,"integrated","agent_4","persona_2"
40,"memory_only","agent_3","persona_2"
40,"memory_only","agent_4","persona_2"
40,"document_only","agent_3","persona_3"
40,"integrated","agent_4","persona_3"
40,"memory_only","agent_3","persona_3"
40,"memory_only","agent_4","persona_3"
41,"document_only","agent_1","persona_1"
41,"document_only","agent_4","persona_1"
41,"integrated","agent_1","persona_1"
41,"integrated","agent_2","persona_1"
41,"document_only","agent_1","persona_2"
41,"document_only","agent_4","persona_2"
41,"integrated","agent_1","persona_2"
41,"integrated","agent_2","persona_2"
41,"document_only","agent_1","persona_3"
41,"document_only","agent_4","persona_3"
41,"integrated","agent_1","persona_3"
41,"integrated","agent_2","persona_3"
42,"document_only","agent_2","persona_1"
42,"document_only","agent_3","persona_1"
42,"integrated","agent_1","persona_1"
42,"integrated","agent_4","persona_1"
42,"document_only","agent_2","persona_2"
42,"document_only","agent_3","persona_2"
42,"integrated","agent_1","persona_2"
42,"integrated","agent_4","persona_2"
42,"document_only","agent_2","persona_3"
42,"document_only","agent_3","persona_3"
42,"integrated","agent_1","persona_3"
42,"integrated","agent_4","persona_3"
43,"document_only","agent_4","persona_1"
43,"integrated","agent_3","persona_1"
43,"memory_only","agent_1","persona_1"
43,"memory_only","agent_4","persona_1"
43,"document_only","agent_4","persona_2"
43,"integrated","agent_3","persona_2"
43,"memory_only","agent_1","persona_2"
43,"memory_only","agent_4","persona_2"
43,"document_only","agent_4","persona_3"
43,"integrated","agent_3","persona_3"
